2026-08-24T13:20:05.949-06:00 | [PRESS] | evento_001 | tecla='g' | delta_ms=0
2026-08-24T13:20:06.090-06:00 | [RELEASE] | evento_002 | tecla='g' | delta_ms=140
2026-08-24T13:20:06.732-06:00 | [PRESS] | evento_003 | tecla='f' | delta_ms=642
2026-08-24T13:20:06.836-06:00 | [RELEASE] | evento_004 | tecla='f' | delta_ms=104
2026-08-24T13:20:07.422-06:00 | [PRESS] | evento_005 | tecla='f' | delta_ms=585
2026-08-24T13:20:07.494-06:00 | [RELEASE] | evento_006 | tecla='f' | delta_ms=72
2026-08-24T13:20:07.769-06:00 | [PRESS] | evento_007 | tecla='g' | delta_ms=275
2026-08-24T13:20:07.915-06:00 | [RELEASE] | evento_008 | tecla='g' | delta_ms=146
2026-08-24T13:20:08.014-06:00 | [PRESS] | evento_009 | tecla='f' | delta_ms=98
2026-08-24T13:20:08.157-06:00 | [RELEASE] | evento_010 | tecla='f' | delta_ms=143
2026-08-24T13:20:08.288-06:00 | [PRESS] | evento_011 | tecla='b' | delta_ms=130
2026-08-24T13:20:08.442-06:00 | [RELEASE] | evento_012 | tecla='b' | delta_ms=153
2026-08-24T13:20:08.604-06:00 | [PRESS] | evento_013 | tecla='g' | delta_ms=162
2026-08-24T13:20:08.618-06:00 | [PRESS] | evento_014 | tecla='b' | delta_ms=14
2026-08-24T13:20:08.681-06:00 | [RELEASE] | evento_015 | tecla='g' | delta_ms=62
2026-08-24T13:20:08.756-06:00 | [RELEASE] | evento_016 | tecla='b' | delta_ms=75
2026-08-24T13:20:08.869-06:00 | [PRESS] | evento_017 | tecla='f' | delta_ms=113
2026-08-24T13:20:08.929-06:00 | [PRESS] | evento_018 | tecla='g' | delta_ms=59
2026-08-24T13:20:08.948-06:00 | [RELEASE] | evento_019 | tecla='f' | delta_ms=19
2026-08-24T13:20:08.950-06:00 | [PRESS] | evento_020 | tecla='b' | delta_ms=2
2026-08-24T13:20:09.023-06:00 | [RELEASE] | evento_021 | tecla='g' | delta_ms=72
2026-08-24T13:20:09.083-06:00 | [RELEASE] | evento_022 | tecla='b' | delta_ms=60
2026-08-24T13:20:09.119-06:00 | [PRESS] | evento_023 | tecla='f' | delta_ms=36
2026-08-24T13:20:09.215-06:00 | [RELEASE] | evento_024 | tecla='f' | delta_ms=95
2026-08-24T13:20:09.406-06:00 | [PRESS] | evento_025 | tecla=Key.backspace | delta_ms=191
2026-08-24T13:20:09.907-06:00 | [PRESS] | evento_026 | tecla=Key.backspace | delta_ms=500
2026-08-24T13:20:09.941-06:00 | [PRESS] | evento_027 | tecla=Key.backspace | delta_ms=34
2026-08-24T13:20:09.966-06:00 | [PRESS] | evento_028 | tecla=Key.backspace | delta_ms=24
2026-08-24T13:20:09.979-06:00 | [RELEASE] | evento_029 | tecla=Key.backspace | delta_ms=13
2026-08-24T13:20:10.101-06:00 | [PRESS] | evento_030 | tecla=Key.backspace | delta_ms=122
2026-08-24T13:20:10.158-06:00 | [RELEASE] | evento_031 | tecla=Key.backspace | delta_ms=57
2026-08-24T13:20:10.271-06:00 | [PRESS] | evento_032 | tecla=Key.backspace | delta_ms=112
2026-08-24T13:20:10.301-06:00 | [RELEASE] | evento_033 | tecla=Key.backspace | delta_ms=30
2026-08-24T13:20:10.405-06:00 | [PRESS] | evento_034 | tecla=Key.backspace | delta_ms=103
2026-08-24T13:20:10.446-06:00 | [RELEASE] | evento_035 | tecla=Key.backspace | delta_ms=41
2026-08-24T13:20:10.535-06:00 | [PRESS] | evento_036 | tecla=Key.backspace | delta_ms=88
2026-08-24T13:20:10.571-06:00 | [RELEASE] | evento_037 | tecla=Key.backspace | delta_ms=36
2026-08-24T13:20:10.658-06:00 | [PRESS] | evento_038 | tecla=Key.backspace | delta_ms=86
2026-08-24T13:20:10.717-06:00 | [RELEASE] | evento_039 | tecla=Key.backspace | delta_ms=59
2026-08-24T13:20:10.802-06:00 | [PRESS] | evento_040 | tecla=Key.backspace | delta_ms=84
2026-08-24T13:20:10.860-06:00 | [RELEASE] | evento_041 | tecla=Key.backspace | delta_ms=58
2026-08-24T13:20:10.940-06:00 | [PRESS] | evento_042 | tecla=Key.backspace | delta_ms=79
2026-08-24T13:20:11.004-06:00 | [RELEASE] | evento_043 | tecla=Key.backspace | delta_ms=63
2026-08-24T13:20:11.258-06:00 | [PRESS] | evento_044 | tecla=Key.backspace | delta_ms=254
2026-08-24T13:20:11.308-06:00 | [RELEASE] | evento_045 | tecla=Key.backspace | delta_ms=50
